0,1
0X05FFB4,0XCE
0X05FFB5,0X55
0X05FFB6,0XE9
0X05FFB7,0X9E
0X05FFB8,0XA0
0X05FFB9,0X77
0X05FFBA,0X7D
0X05FFBB,0X4A
0X05FFBC,0X62
0X05FFBD,0X7A
0X05FFBE,0X42
0X05FFBF,0X6B
0X05FFC0,0X6C
0X05FFC1,0XF6
0X05FFC2,0XC8
0X05FFC3,0X6D
0X05FFC4,0X36
0X05FFC5,0X27
0X05FFC6,0XD9
0X05FFC7,0X07
0X05FFC8,0X58
0X05FFC9,0XAF
0X05FFCA,0X60
0X05FFCB,0X16
0X05FFCC,0X62
0X05FFCD,0XF8
0X05FFCE,0X51
0X05FFCF,0XE3
0X05FFD0,0X7A
0X05FFD1,0X30
0X05FFD2,0X28
0X05FFD3,0XD2
0X05FFD4,0XF1
0X05FFD5,0X13
0X05FFD6,0X28
0X05FFD7,0X91
0X05FFD8,0X0C
0X05FFD9,0XC7
0X05FFDA,0X5D
0X05FFDB,0XCE
0X05FFDC,0X0B
0X05FFDD,0XF6
0X05FFDE,0X1E
0X05FFDF,0X28
0X05FFE0,0XAD
0X05FFE1,0XF3
0X05FFE2,0X23
0X05FFE3,0X28
0X05FFE4,0XD6
0X05FFE5,0XAB
0X05FFE6,0X5B
0X05FFE7,0XF9
0X05FFE8,0X19
0X05FFE9,0X1F
0X05FFEA,0X35
0X05FFEB,0XDE
0X05FFEC,0X27
0X05FFED,0XC4
0X05FFEE,0X0C
0X05FFEF,0X8C
0X05FFF0,0XB4
0X05FFF1,0X56
0X05FFF2,0XD4
0X05FFF3,0X8F
0X05FFF4,0XD6
0X05FFF5,0XC4
0X05FFF6,0XF4
0X05FFF7,0XDA
0X05FFF8,0XBE
0X05FFF9,0XF5
0X05FFFA,0XED
0X05FFFB,0X28
0X05FFFC,0X7A
0X05FFFD,0XA7
0X05FFFE,0X9E
0X05FFFF,0XE2
0X06FF00,0X74
0X06FF01,0X4A
0X06FF02,0XAA
0X06FF03,0X20
0X06FF04,0X25
0X06FF05,0X34
0X06FF06,0XD2
0X06FF07,0X2D
0X06FF08,0X23
0X06FF09,0X01
0X06FF0A,0X26
0X06FF0B,0X01
0X06FF0C,0XF3
0X06FF0D,0XFF
0X06FF0E,0X2B
0X06FF0F,0XBC
0X06FF10,0X58
0X06FF11,0XD8
0X06FF12,0X79
0X06FF13,0X13
0X06FF14,0X96
0X06FF15,0XB4
0X06FF16,0X78
0X06FF17,0X67
0X06FF18,0XAF
0X06FF19,0XD9
0X06FF1A,0X50
0X06FF1B,0XE3
0X06FF1C,0X2B
0X06FF1D,0XA8
0X06FF1E,0X68
0X06FF1F,0X35
0X06FF20,0X47
0X06FF21,0X8D
0X06FF22,0XDA
0X06FF23,0X53
0X06FF24,0XA4
0X06FF25,0X6C
0X06FF26,0X6C
0X06FF27,0X0E
0X06FF28,0X4E
0X06FF29,0X47
0X06FF2A,0XF5
0X06FF2B,0X55
0X06FF2C,0X54
0X06FF2D,0X12
0X06FF2E,0X9B
0X06FF2F,0X28
0X06FF30,0XDF
0X06FF31,0XAA
0X06FF32,0X62
0X06FF33,0X79
0X06FF34,0XEA
0X06FF35,0X9E
0X06FF36,0XE4
0X06FF37,0X89
0X06FF38,0X4F
0X06FF39,0X47
0X06FF3A,0X93
0X06FF3B,0XDA
0X06FF3C,0X83
0X06FF3D,0XA6
0X06FF3E,0XA3
0X06FF3F,0XF3
0X06FF40,0X0D
0X06FF41,0X6B
0X06FF42,0X30
0X06FF43,0X81
0X06FF44,0XC0
0X06FF45,0X45
0X06FF46,0XF2
0X06FF47,0X06
0X06FF48,0X9B
0X06FF49,0XD8
0X06FF4A,0XC8
0X06FF4B,0X2B
0X06FF4C,0X67
0X06FF4D,0XA4
0X06FF4E,0XC2
0X06FF4F,0X37
0X06FF50,0X95
0X06FF51,0X46
0X06FF52,0X4C
0X06FF53,0X83
0X06FF54,0XF4
0X06FF55,0X22
0X06FF56,0XDF
0X06FF57,0X60
0X06FF58,0X4A
0X06FF59,0XA1
0X06FF5A,0X07
0X06FF5B,0X2B
0X06FF5C,0X5E
0X06FF5D,0XC1
0X06FF5E,0X0B
0X06FF5F,0XD9
0X06FF60,0XFC
0X06FF61,0X1C
0X06FF62,0X05
0X06FF63,0X36
0X06FF64,0XAE
0X06FF65,0XC7
0X06FF66,0X88
0X06FF67,0X2B
0X06FF68,0XA2
0X06FF69,0X58
0X06FF6A,0X0D
0X06FF6B,0XFE
0X06FF6C,0X6B
0X06FF6D,0X24
0X06FF6E,0X2E
0X06FF6F,0X24
0X06FF70,0XCE
0X06FF71,0X98
0X06FF72,0X32
0X06FF73,0XDE
0X06FF74,0X32
0X06FF75,0XFB
0X06FF76,0XD2
0X06FF77,0X8C
0X06FF78,0X98
0X06FF79,0XBC
0X06FF7A,0XD2
0X06FF7B,0X51
0X06FF7C,0X77
0X06FF7D,0X76
0X06FF7E,0X23
0X06FF7F,0X6F
0X06FF80,0X01
0X06FF81,0XE6
0X06FF82,0X7E
0X06FF83,0X08
0X06FF84,0X0D
0X06FF85,0X4F
0X06FF86,0X04
0X06FF87,0XC3
0X06FF88,0X32
0X06FF89,0X5E
0X06FF8A,0XB8
0X06FF8B,0X94
0X06FF8C,0XD8
0X06FF8D,0X94
0X06FF8E,0XC8
0X06FF8F,0X04
0X06FF90,0XBF
0X06FF91,0X8C
0X06FF92,0X7B
0X06FF93,0X6C
0X06FF94,0X93
0X06FF95,0X24
0X06FF96,0X7F
0X06FF97,0XC8
0X06FF98,0XE8
0X06FF99,0XA3
0X06FF9A,0X58
0X06FF9B,0XCE
0X06FF9C,0X48
0X06FF9D,0X1C
0X06FF9E,0XEF
0X06FF9F,0X5A
0X06FFA0,0XC4
0X06FFA1,0XFA
0X06FFA2,0X2B
0X06FFA3,0X03
0X06FFA4,0X70
0X06FFA5,0X8C
0X06FFA6,0XB0
0X06FFA7,0XBA
0X06FFA8,0X0A
0X06FFA9,0X4A
0X06FFAA,0XCB
0X06FFAB,0X40
0X06FFAC,0XC6
0X06FFAD,0X01
0X06FFAE,0X1F
0X06FFAF,0XF4
0X06FFB0,0X47
0X06FFB1,0X40
0X06FFB2,0X5F
0X06FFB3,0X8F
0X06FFB4,0X8B
0X06FFB5,0X15
0X06FFB6,0X21
0X06FFB7,0XFA
0X06FFB8,0X33
0X06FFB9,0XF3
0X06FFBA,0XD9
0X06FFBB,0X3C
0X06FFBC,0XAF
0X06FFBD,0X1E
0X06FFBE,0X30
0X06FFBF,0X8B
0X06FFC0,0X66
0X06FFC1,0XCE
0X06FFC2,0XAB
0X06FFC3,0X7D
0X06FFC4,0X2B
0X06FFC5,0XB0
0X06FFC6,0XB6
0X06FFC7,0XD5
0X06FFC8,0X47
0X06FFC9,0XA3
0X06FFCA,0X59
0X06FFCB,0X2B
0X06FFCC,0X5E
0X06FFCD,0X7F
0X06FFCE,0X68
0X06FFCF,0X79
0X06FFD0,0X78
0X06FFD1,0XAB
0X06FFD2,0XE6
0X06FFD3,0X30
0X06FFD4,0X4E
0X06FFD5,0X8E
0X06FFD6,0X2B
0X06FFD7,0X71
0X06FFD8,0XAA
0X06FFD9,0XAF
0X06FFDA,0XA5
0X06FFDB,0X02
0X06FFDC,0XB7
0X06FFDD,0XB9
0X06FFDE,0X1B
0X06FFDF,0X77
0X06FFE0,0X13
0X06FFE1,0X2B
0X06FFE2,0X01
0X06FFE3,0X4D
0X06FFE4,0X0D
0X06FFE5,0X8E
0X06FFE6,0X3C
0X06FFE7,0X5A
0X06FFE8,0X56
0X06FFE9,0XC2
0X06FFEA,0X25
0X06FFEB,0X00
0X06FFEC,0XD5
0X06FFED,0X2B
0X06FFEE,0X0D
0X06FFEF,0XFD
0X06FFF0,0XF0
0X06FFF1,0X0D
0X06FFF2,0X0D
0X06FFF3,0XB6
0X06FFF4,0XE1
0X06FFF5,0XEA
0X06FFF6,0X84
0X06FFF7,0X51
0X06FFF8,0X40
0X06FFF9,0X93
0X06FFFA,0X9D
0X06FFFB,0X3B
0X06FFFC,0X17
0X06FFFD,0X74
0X06FFFE,0X1F
0X06FFFF,0XEB
0X07FF00,0XD3
0X07FF01,0X46
0X07FF02,0XCF
0X07FF03,0X81
0X07FF04,0X22
0X07FF05,0X21
0X07FF06,0X48
0X07FF07,0X8D
0X07FF08,0X62
0X07FF09,0XC0
0X07FF0A,0X8F
0X07FF0B,0X2A
0X07FF0C,0XD0
0X07FF0D,0X6A
0X07FF0E,0X25
0X07FF0F,0X31
0X07FF10,0X43
0X07FF11,0X93
0X07FF12,0X8F
0X07FF13,0X81
0X07FF14,0XC1
0X07FF15,0XD1
0X07FF16,0X2A
0X07FF17,0XB1
0X07FF18,0XB6
0X07FF19,0X2A
0X07FF1A,0XA4
0X07FF1B,0X8A
0X07FF1C,0X05
0X07FF1D,0X59
0X07FF1E,0X35
0X07FF1F,0X17
0X07FF20,0X3B
0X07FF21,0XAB
0X07FF22,0X8E
0X07FF23,0X96
0X07FF24,0XE0
0X07FF25,0X48
0X07FF26,0X3E
0X07FF27,0XD4
0X07FF28,0XC4
0X07FF29,0X2F
0X07FF2A,0X6B
0X07FF2B,0X3B
0X07FF2C,0XFD
0X07FF2D,0X09
0X07FF2E,0X0F
0X07FF2F,0X56
0X07FF30,0XBD
0X07FF31,0X7A
0X07FF32,0X36
0X07FF33,0XF8
0X07FF34,0XC7
0X07FF35,0XF3
0X07FF36,0X00
0X07FF37,0X6C
0X07FF38,0X9A
0X07FF39,0XE2
0X07FF3A,0XA4
0X07FF3B,0XE5
0X07FF3C,0X47
0X07FF3D,0X2A
0X07FF3E,0XF1
0X07FF3F,0XC9
0X07FF40,0XDF
0X07FF41,0XE3
0X07FF42,0XFD
0X07FF43,0XCD
0X07FF44,0X7A
0X07FF45,0X76
0X07FF46,0XB0
0X07FF47,0X4F
0X07FF48,0X33
0X07FF49,0XF6
0X07FF4A,0X3B
0X07FF4B,0X75
0X07FF4C,0X1F
0X07FF4D,0X2A
0X07FF4E,0X25
0X07FF4F,0X3C
0X07FF50,0X68
0X07FF51,0XEA
0X07FF52,0X82
0X07FF53,0X61
0X07FF54,0X49
0X07FF55,0X35
0X07FF56,0XFD
0X07FF57,0X5D
0X07FF58,0X73
0X07FF59,0XDC
0X07FF5A,0XB9
0X07FF5B,0XAF
0X07FF5C,0XDB
0X07FF5D,0XE2
0X07FF5E,0XF3
0X07FF5F,0XBE
0X07FF60,0X69
0X07FF61,0X33
0X07FF62,0X5A
0X07FF63,0X2A
0X07FF64,0X6F
0X07FF65,0X0E
0X07FF66,0X41
0X07FF67,0X95
0X07FF68,0X2C
0X07FF69,0X13
0X07FF6A,0X9F
0X07FF6B,0XC7
0X07FF6C,0X66
0X07FF6D,0XAC
0X07FF6E,0X49
0X07FF6F,0X88
0X07FF70,0X77
0X07FF71,0X68
0X07FF72,0X3A
0X07FF73,0X2A
0X07FF74,0XC4
0X07FF75,0X76
0X07FF76,0XDC
0X07FF77,0X03
0X07FF78,0XAC
0X07FF79,0XEC
